timestamp,value
2025-03-01T16:20:33Z,85.8
2025-03-01T16:21:33Z,84.3
2025-03-01T16:22:33Z,85.7
2025-03-01T16:23:33Z,86.7
2025-03-01T16:24:33Z,86.3
2025-03-01T16:25:33Z,50
2025-03-01T16:26:33Z,85.7
2025-03-01T16:27:33Z,88.9
2025-03-01T16:28:33Z,50
2025-03-01T16:29:33Z,50
2025-03-01T16:30:33Z,92.2
2025-03-01T16:31:33Z,89.4
2025-03-01T16:32:33Z,85.8
2025-03-01T16:33:33Z,84.9
2025-03-01T16:34:33Z,85
2025-03-01T16:35:33Z,50
2025-03-01T16:36:33Z,85.3
2025-03-01T16:37:33Z,87.6
2025-03-01T16:38:33Z,89.2
2025-03-01T16:39:33Z,90.4
2025-03-01T16:40:33Z,90.8
2025-03-01T16:41:33Z,91.5
2025-03-01T16:42:33Z,90.8
2025-03-01T16:43:33Z,88
2025-03-01T16:44:33Z,50
2025-03-01T16:45:33Z,50
2025-03-01T16:46:33Z,84.7
2025-03-01T16:47:33Z,50
2025-03-01T16:48:33Z,50
2025-03-01T16:49:33Z,88.1
2025-03-01T16:50:33Z,50
2025-03-01T16:51:33Z,50
2025-03-01T16:52:33Z,88.5
2025-03-01T16:53:33Z,87.4
2025-03-01T16:54:33Z,86.5
2025-03-01T16:55:33Z,50
2025-03-01T16:56:33Z,88.5
2025-03-01T16:57:33Z,50
2025-03-01T16:58:33Z,90.2
2025-03-01T16:59:33Z,91.8
2025-03-01T17:00:33Z,50
2025-03-01T17:01:33Z,91.7
2025-03-01T17:02:33Z,90.6
2025-03-01T17:03:33Z,85.7
2025-03-01T17:04:33Z,83.5
2025-03-01T17:05:33Z,84.8
2025-03-01T17:06:33Z,87.8
2025-03-01T17:07:33Z,87.4
2025-03-01T17:08:33Z,85.4
2025-03-01T17:09:33Z,82.3
2025-03-01T17:10:33Z,83
2025-03-01T17:11:33Z,83.9
2025-03-01T17:12:33Z,86.8
2025-03-01T17:13:33Z,89.7
2025-03-01T17:14:33Z,50
2025-03-01T17:15:33Z,50
2025-03-01T17:16:33Z,50
2025-03-01T17:17:33Z,50
2025-03-01T17:18:33Z,93.4
2025-03-01T17:19:33Z,93.7
2025-03-01T17:20:33Z,50
2025-03-01T17:21:33Z,91.6
2025-03-01T17:22:33Z,50
2025-03-01T17:23:33Z,91.5
2025-03-01T17:24:33Z,50
2025-03-01T17:25:33Z,50
2025-03-01T17:26:33Z,91.1
2025-03-01T17:27:33Z,50
2025-03-01T17:28:33Z,90.6
2025-03-01T17:29:33Z,50
2025-03-01T17:30:33Z,50
2025-03-01T17:31:33Z,50
2025-03-01T17:32:33Z,50
2025-03-01T17:33:33Z,87.4
2025-03-01T17:34:33Z,84.8
2025-03-01T17:35:33Z,83.2
2025-03-01T17:36:33Z,80.5
2025-03-01T17:37:33Z,81.7
2025-03-01T17:38:33Z,82
2025-03-01T17:39:33Z,50
2025-03-01T17:40:33Z,50
2025-03-01T17:41:33Z,50
2025-03-01T17:42:33Z,50
